"club_id","name","country"
1347,"Clapham Common","United Kingdom"
1348,"The Depot","United Kingdom"
1349,"Golden Jubilee & Yacht Club","United Kingdom"
1350,"The Norfolk County Showground","United Kingdom"
1351,"Sensor Club","Germany"
1353,"Sin","Australia"
1354,"The Kitchen","Australia"
1355,"Dry Bar","United Kingdom"
1357,"Hyde Park Barracks","Australia"
1358,"Vertigo","Costa Rica"
1366,"Tjapukai Cultural Park","Australia"
1369,"Brighton Up Bar","Australia"
1371,"Sahara Nights","United Kingdom"
1373,"Yebisu The Garden Hall","Japan"
1374,"Rogues Nightclub","Australia"
1377,"York Way Freight Yards","United Kingdom"
1378,"Clarendon Lounge","Australia"
1380,"The Lexington Club","United Kingdom"
1381,"Leicester University - The Venue","United Kingdom"
1382,"Sydney Park","Australia"
1384,"Olympia Theatre","Ireland"
1386,"Cafe Lounge","Australia"
1387,"Grainery Lane Theatre","Australia"
1389,"Henry Fonda Theater","United States of America"
1394,"The Necto","United States of America"
1397,"LinuxClub","Italy"
1402,"Bar Fresa","United Kingdom"
1404,"The Albany","United Kingdom"
1408,"Bodhi Bar","Australia"
1410,"North","United Kingdom"
1415,"Hollywood Arena","United States of America"
1420,"Mojo West","Australia"
1444,"El Rey Theatre","United States of America"
1446,"The Space","United Kingdom"
1449,"Sikamikanico","Norway"
1453,"Queen","France"
1457,"Starship Sydney","Australia"
1458,"Moda Nightclub","United States of America"
1462,"Orpheum","United States of America"
1464,"Alhambra","United Kingdom"
1465,"Islington Bar","United Kingdom"
1467,"Robert Johnson","Germany"
1468,"Club ONE","United States of America"
1474,"Platform One","Australia"
1476,"Academy Club","Australia"
1478,"Redlight, Le","France"
1480,"Plusmatic","Greece"
1488,"Theme Nightclub","United Kingdom"
1489,"Industrie","Australia"
1491,"L5","United States of America"
1500,"Champs","United States of America"
1502,"The Jazz Cafe","United Kingdom"
1511,"Planeta Bar-Rio","United States of America"
1512,"Rich's at 2401","United States of America"
1513,"Django","United States of America"
1519,"Bar Open","Australia"
1524,"Agincourt Hotel","Australia"
1525,"Coronet Theatre","United Kingdom"
1530,"Centro de Eventos Cerro Bellavista Ex Oz","Chile"
1531,"Church of the Seven Candles","United States of America"
1557,"Brixton Jamm","United Kingdom"
1563,"Ampersand","United States of America"
1568,"Coach Niteclub","United Kingdom"
1570,"First Floor","Australia"
1571,"TU/e","Netherlands"
1574,"Viper Room","United States of America"
1577,"Hackney Central","United Kingdom"
1578,"The Club","United Kingdom"
1579,"Mint Bar Camden","United Kingdom"
1580,"Austin Marketplace","United States of America"
1581,"Daedalus","United States of America"
1585,"Alexandra Palace","United Kingdom"
1586,"1015 Folsom","United States of America"
1588,"Mint Bar","Thailand"
1590,"King Street Hotel - Newcastle","Australia"
1592,"Flanders Expo Centre","Belgium"
1593,"Sun and Thirteen Cantons","United Kingdom"
1594,"Nouvo  Club","Malaysia"
1595,"Vinyl","United States of America"
1598,"ATC","Japan"
1599,"Mezzanine","United States of America"
1610,"Tonic Lounge","Australia"
1613,"Sage Club","Germany"
1617,"Hidden Bar","Australia"
1619,"Butan Club","Germany"
1626,"Pivo","United Kingdom"
1643,"Wembley Arena","United Kingdom"
1644,"The River Bar","United Kingdom"
1645,"Halo","Australia"
1647,"Zaman Bar","United States of America"
1650,"Tongue + Groove","United Kingdom"
1656,"Cafe Cairo","United Kingdom"
1661,"Womb","Japan"
1665,"Psy Dmt","United Kingdom"
1666,"Soak","Australia"
1667,"Jubilee Hotel","Australia"
1668,"The Frying Pan","United States of America"
1669,"Pure","United States of America"
1670,"Natural History Museum of LA County","United States of America"
1672,"Rex Club","France"
1681,"Vibe on Smith","Australia"
1683,"Lizard Lounge","United States of America"
1685,"Zouk","Malaysia"
1689,"Zebra","Argentina"
1690,"The Emporium","United Kingdom"
1692,"Polideportivo Mar del Plata","Argentina"
1695,"Canal Room","United States of America"
1696,"The Arches","United Kingdom"
1697,"Babel","United Kingdom"
1698,"Supreme Court Gardens","Australia"
1702,"Hotel Arena","Netherlands"
1704,"Bat and Ball Hotel","Australia"
1705,"Soundshaft","United Kingdom"
1707,"Clarendon Hotel - Newcastle","Australia"
1711,"N2O Bar","United Kingdom"
1713,"Ruby Skye","United States of America"
1716,"The Spot","Australia"
1717,"Las Palmas Restaurant","United States of America"
1718,"Hollywood Palladium","United States of America"
1729,"Panama","Netherlands"
1732,"Quo","United States of America"
1736,"Arcadia London Bridge","United Kingdom"
1737,"The Pool Bar","United Kingdom"
1738,"Plus Soda","Greece"
1752,"The Arena","United Kingdom"
1755,"The Latin Quarter","United Kingdom"
1758,"Home","United States of America"
1760,"Moon","Norway"
1761,"Tiger Tiger","United Kingdom"
1762,"Hyde Park Hotel","Australia"
1763,"Elsewhere Bar - Surfers Paradise","Australia"
1770,"The Stannary","United Kingdom"
1775,"Bullit","United Kingdom"
1776,"Mi Casa Es Su Casa","Australia"
1778,"The Wine Bar","Australia"
1782,"Social","United States of America"
1783,"Candy Bar","Australia"
1789,"Astor Hotel","United States of America"
1790,"Miami Beach Resort & Spa","United States of America"
1795,"Dorset Hotel","United States of America"
1799,"The Sagamore Hotel","United States of America"
1802,"Shelborne Wyndham Grand South Beach","United States of America"
1803,"Bayside Marina","United States of America"
1805,"LIV Nightclub","United States of America"
1806,"Chesterfield Hotel","United States of America"
1808,"Arcardi","Australia"
1810,"Matrix Club","Italy"
1811,"Cabaret Voltaire","United Kingdom"
1812,"Step Inn","Australia"
1815,"Forbes Hotel","Australia"
1818,"The Fringe","United Kingdom"
1827,"Burswood Dome","Australia"
1832,"Versalles 52","Mexico"
1833,"The Spitz","United Kingdom"
1836,"Tantra Restaurant and Lounge","United States of America"
1839,"Durham Students Union","United Kingdom"
1840,"Nikki Beach","United States of America"
1843,"21st Century Dance Club","Australia"
1846,"Bar 242","United Kingdom"
1850,"The Marlin Hotel","United States of America"
1851,"Royal Adelaide Showgrounds","Australia"
1852,"Jam","United Kingdom"
1853,"The Chelsea Hotel","United States of America"
1857,"The Dogstar","United Kingdom"
1859,"Automatic Slims","United States of America"
1865,"Era Groove House","Argentina"
1866,"Crobar Buenos Aires","Argentina"
1867,"Big Chill Bar","United Kingdom"
1873,"Kooma","United States of America"
1878,"The Studio at Sydney Opera House","Australia"
1883,"The Lodge Bar","United Kingdom"
1884,"Madisons","Australia"
1887,"The Whitelaw Hotel","United States of America"
1890,"Rouge","United Kingdom"
1891,"Wax","United Kingdom"
1892,"Five","United States of America"
1898,"Saks","United Kingdom"
1899,"Hotel Shelley","United States of America"
1900,"Beach Plaza Hotel","United States of America"
1901,"Publicity","Australia"
1903,"The Croft Institute","Australia"
1906,"Hotel Shelley","United States of America"
1907,"Adelphi Hotel Pool Deck","Australia"
1909,"Spy Lounge","United States of America"
1912,"Mint Bar","Australia"
1913,"Spectrum","Australia"
1918,"Sub Club","United Kingdom"
1919,"Buck15","United States of America"
1921,"Fenwick The Dock","China"
1928,"NYT","United Kingdom"
1930,"Eden Roc Hotel","United States of America"
1932,"Cielo","United States of America"
1933,"Sapphire","United States of America"
1934,"Shine","United Kingdom"
1937,"Compound","United States of America"
1938,"Eleven50","United States of America"
1940,"Luxy","Taiwan"
1941,"Kersouwe","Netherlands"
1942,"The Big Top","Australia"
1947,"The Loft","United Kingdom"
1948,"Anhembi","Brazil"
1949,"4th & B","United States of America"
1950,"Niceto Club","Argentina"
1953,2505,"United States of America"
1954,"American Airlines Arena","United States of America"
1960,"Cambidge Hotel - Newcastle","Australia"
1962,"The Sunset Club","United States of America"
1963,"Fabrik","Spain"
1969,"Cellar Bar - Bryant Park Hotel","United States of America"
1970,"Teepee, Indie Temple","Australia"
1971,"Teatro Cultural Estacion Mapocho","Chile"
1974,"Los Angeles Memorial Coliseum","United States of America"
1977,"Provincial Hotel","Australia"
1979,"Montmarte Lounge","United States of America"
1981,"Traxx","Germany"
1982,"Masonic Temple","United States of America"
1987,"Binbirdirek Sarnici","Turkey"
1992,"The Mercy Lounge","United States of America"
1998,"Effenaar","Netherlands"
2000,"Karstadt","Germany"
2001,"Ric's Cafe","Australia"
2005,"ICA","United Kingdom"
2006,"Khokolat","Australia"
2007,"Myslecinek Country Park","Poland"
2010,"111 Minna Gallery","United States of America"
2011,"CC Club","United Kingdom"
2012,"Room 960","United States of America"
2015,"Elysium","United States of America"
2017,"Concorde 2","United Kingdom"
2018,"Volks","United Kingdom"
2019,"Grube Club","Germany"
2021,"Stylus","United Kingdom"
2023,"Liman","Turkey"
2024,"303 Bar","Australia"
2026,"Royal Inn on the Park","United Kingdom"
2027,"The Dublin Castle","United Kingdom"
2038,"KOKO","United Kingdom"
2040,"Babylon","Turkey"
2042,"Club Contour","United States of America"
2044,"Gallery 108","United States of America"
2045,"VIP Room Cannes","France"
2048,"Unit","Japan"
2049,"Dune, La","France"
2052,"Victoria Park","United Kingdom"
2055,"Nottingham Arena","United Kingdom"
2059,"Es Paradis","Spain"
2061,"La Rocca Ballroom","Belgium"
